0,1,2,3,4,5
(-1.2449836942374706+0j),(-0.25857193439966064+0j),(-7.163453705275058+0j),0j,0j,0j
(-0.2777243238382041+0j),(-0.2250528188965283+0j),(-6.560109626218676+0j),(23.619590274506074+1.7094149369264975j),(0.9818532164345114+7.036165842086902j),(9.298588222198156+2.511172761106724j)
(0.751777786919102+0j),(-0.23463389985347166+0j),(-6.526590218454599+0j),(4.633015492979104+0.8166667552686335j),(-2.7399918866619317+0.8350431587929107j),(2.28280243054388+8.991626812050507j)
(1.3455410407468675+0j),(-0.3256101836722344+0j),(-7.177820668801665+0j),(-7.877313001014288+14.633751750596359j),(2.7487414737952305+1.6550974665626197j),(20.47139076171245-4.5781175420401725j)
(1.2737171828992664+0j),(-0.43574868420381097+0j),(-8.50899503828287+0j),(24.796123853040143+5.891742402546951j),(-1.3493687453398993-3.3437324848753485j),(0.1776310233759002+3.6059024895730714j)
(0.9385258086722343+0j),(-0.5075725785840303+0j),(-9.988612833303213+0j),(31.222272481900344+46.299030111875155j),(1.8412857804830483+4.005122330620845j),(18.573929946942165+22.1627533560377j)
(0.6847395559128373+0j),(-0.4644723821239546+0j),(-11.080367621290684+0j),(-75.82915083620578-94.71563564979925j),(-0.8476449591605528-6.0456292627509045j),(0.7758239871247383-55.33191790241968j)
(0.5410917306197807+0j),(-0.5171438687993213+0j),(-11.640610809767246+0j),(-79.4632165194676+5.46611728700436j),(1.0051563845130733-4.125923828425685j),(-5.398006957012538-48.559226743148486j)
(0.08619064784427173+0j),(-0.45968671875+0j),(-11.621458365529774+0j),(-0.12758692465602284-34.319866693003874j),(2.288742333321892+1.1538087575293354j),(49.08515399807291+13.195126380150587j)
(-0.6464347405031323+0j),(-0.4884202074117958+0j),(-11.233596527540683+0j),(15.63349788373377-1.773199664823351j),(-0.013969068654164224+1.029154141329011j),(3.38852504818529+6.436133506752243j)
(-1.249769321078807+0j),(-0.5458773574611172+0j),(-10.596733040720224+0j),(3.0135075982791575-2.7784868647275927j),(0.7017642315685844-0.8863513326127839j),(32.880597958138054-21.98646676083964j)
(-1.891418434740603+0j),(-0.6943206003371626+0j),(-10.09395536826253+0j),(-13.813102870591559-22.08827095339486j),(1.061615956215429-0.26066709602506055j),(-18.637225554862987-11.788461688846215j)
(-2.7054487527593967+0j),(-0.7996636467531323+0j),(-10.108321747267246+0j),(2.1558454410888306-11.877407717583049j),(0.4184560936117302+0.12913053974831343j),(0.8310247343383921-13.021973135347961j)
(-3.734950790451467+0j),(-0.6991063002437353+0j),(-10.668566104787587+0j),(-9.567213319187054-5.818118639774436j),(1.572220704013469-0.5978533128724678j),(-7.419645392918207-0.5147188094742479j)
(-4.343080934740603+0j),(-0.5506630208350718+0j),(-11.209648665720223+0j),(-9.84775026947883-7.458663897226765j),(1.5849906107395053-1.296595802932257j),(-1.37639067296002-5.323075417505912j)
(-4.15633291298747+0j),(-0.5123582419579849+0j),(-11.611878051757811+0j),(1.1950522178868517-7.6510139685124035j),(-0.38481478098673716-0.5563271896973081j),(-1.444787700482686-4.911668374222305j)
(-3.1603499907985326+0j),(-0.44531997441910204+0j),(-11.18571015625+0j),(-4.65096316698981-7.072222713487847j),(0.7567042039560576-0.6302522017174977j),(-1.7760916852386428-0.8176553637228281j)
(-1.6615798976711929+0j),(-0.5602441017920151+0j),(-10.539275708007812+0j),(-7.571797662400453-13.46433535560907j),(0.3222498380030412+0.3980737402543316j),(-1.4354558853291906-4.159586471936487j)
(0.04788587353376206+0j),(-0.5027869517426937+0j),(-9.749192667287588+0j),(5.403577862131889-7.66847587902032j),(-0.11894380471568755+0.8847382463793307j),(3.2312865678092555-3.5154355563346193j)
(1.5945416666649281+0j),(-0.44053434757776555+0j),(-8.90642900673747+0j),(4.592689648429136-12.023057649178345j),(-0.2449446971713051+1.5352194038363556j),(-0.3115026752050567-5.008576217964946j)
(2.8443109877437354+0j),(-0.42138193987291306+0j),(-7.982270088526606+0j),(-0.798499447348247-6.516574757940477j),(0.44911774660176335-0.20643518902608854j),(0.7940610042510134-2.832729960312374j)
(3.629607963231206+0j),(-0.4070151955420151+0j),(-7.7236980627954+0j),(3.0356242266735243-3.319638962859061j),(0.06743086703194233+0.7211952278422715j),(1.0713254693791976-2.8562145853013465j)
(3.67749375+0j),(-0.4692677997069433+0j),(-8.145069956198334+0j),(1.1402418165658783-3.793621027815533j),(0.15117918226332866-0.3253349499574133j),(-0.5729429135953148-0.6052757267340301j)
(2.5713722907468677+0j),(-0.4979914976270869+0j),(-9.208101338526607+0j),(5.366938551713997-3.84362695865266j),(-1.0022494397872423+0.5026768299789927j),(2.18169582757211-1.7104211403324374j)
(1.22583125+0j),(-0.5219393229149282+0j),(-10.572794531249999+0j),(2.9632525585220755-2.582149319249651j),(-0.22822663986958652-0.16070606427135542j),(1.589303729658972-0.7835727075886503j)
(-0.019152387155254837+0j),(-0.6272823693308979+0j),(-11.745954513770341+0j),(3.8881800026623132-2.4899680300791505j),(-0.3112827256055192+0.40222958011713056j),(0.9672311672182885-2.528277537646966j)
(-1.22583125+0j),(-0.6751682291649281+0j),(-12.44984629472494+0j),(4.163759625513396-0.9026438126357013j),(-0.656208464144076-0.06202273777431222j),(1.9048177659235266-1.3714240784717742j)
(-2.398990940259397+0j),(-0.7182586714159697+0j),(-12.670112847459315+0j),(2.7425532839557047-2.072422275937254j),(-0.3191394058963855+0.12862676391739936j),(0.953432097535287-1.3398387142129504j)
(-3.902546660228073+0j),(-0.6224967424895614+0j),(-12.215212193942069+0j),(3.5261300115159298-2.06690091555964j),(-0.2912052390291428-0.04941348353960065j),(1.3106555176950356-1.207974171635275j)
(-4.999096573537588+0j),(-0.5315106131302193+0j),(-11.60229656894207+0j),(2.0441706414988214-1.3779704095714829j),(-0.25232629911220683-0.5317286264721198j),(1.8581590616838062-1.6229524726040587j)
(-5.233720737448334+0j),(-0.41658648575730617+0j),(-10.80742863203287+0j),(1.9856386527689864-2.9274453706659447j),(0.7874491626994513+0.327545300578607j),(2.177690521788566-1.5223915439923061j)
(-4.558562299025058+0j),(-0.4022295687006786+0j),(-10.108321747267246+0j),(3.3905621937128703-1.0225183782164882j),(-0.5145395103502265+0.05321545285872942j),(2.2479533080129253-0.7857312906820937j)
(-3.5051123995125293+0j),(-0.3064578125+0j),(-9.42836847578287+0j),(2.4473472014275743-1.632147913126408j),(0.31148253737588655-0.03277503420934724j),(1.200077112997585-0.8148192479510499j)
(-2.4564482729718087+0j),(-0.35912933570798483+0j),(-8.81545285078287+0j),(2.8820540778098698-0.5165140242294566j),(-0.2545758681212127-0.16692542355880005j),(1.6967250941471441-0.37472067616022464j)
(-1.6184797377437352+0j),(-0.3160388934569433+0j),(-8.394070435985922+0j),(1.7370816350217462-2.1828266458688446j),(0.000656250549918802+0.14481365679716116j),(1.4316661001709043-0.04959755332955673j)
(-0.8379684621628374+0j),(-0.2920910681691021+0j),(-8.298298862448334+0j),(2.2984852254091837-0.38168519584755334j),(-0.24074178500183235-0.2269382676662648j),(1.3410380129227706+0.32598524321849887j)
(0.34955804549269376+0j),(-0.2011147843503393+0j),(-8.379704056981206+0j),(2.104571806882732-0.6718891815722667j),(-0.004754542057800404-0.1801187651856464j),(1.3369224474068186-1.0927436703241318j)
(1.4556696409389376+0j),(-0.20590042945798484+0j),(-8.35576613203287+0j),(1.914986814006582-1.5882270174862723j),(0.5960956898086587+0.050454473352633866j),(1.0572221367120118-0.40501634692218946j)
(2.2505476608507333+0j),(-0.31124347587395457+0j),(-8.360551612743734+0j),(2.124077574672381-1.0074408005995292j),(0.3477457621238781-0.08747586015549794j),(1.0078476946751538-0.6569265462973597j)
(2.207457291664928+0j),(-0.45968671875+0j),(-8.427589843749999+0j),(1.9682189170247621-1.3251320826614763j),(0.1424139752888237+0.0911830462325735j),(1.1950142066046245-0.6609568864740334j)
(1.1587930189937352+0j),(-0.4932058342531323+0j),(-8.872909598973393+0j),(2.263770593261092-1.0443606280956277j),(-0.43956105230905174-0.08354150778684094j),(1.1955416181269474-0.4164747423182664j)
0j,(-0.5506630208350718+0j),(-9.557649520212411+0j),(2.5794490651958966-1.0744333150230423j),(-0.0681723271225278-0.029147978446513817j),(1.1257226167430607-0.6320265452281406j)
(-1.1970977613382041+0j),(-0.6799538560062647+0j),(-10.228031830275059+0j),(2.416493078459831-1.9862989318562043j),(-0.21096687398729247+0.2681433550261738j),(1.248617611703322+0.14144372300689234j)
(-2.6815008909389375+0j),(-0.6703728115819394+0j),(-11.14260985019207+0j),(2.5732392717629047-0.8247281853256423j),(0.08990175831340097+0.07159629004693786j),(1.3241962964442386-0.208346918183274j)
(-4.055775566478073+0j),(-0.7852969024222344+0j),(-11.961436170315741+0j),(2.5982228908349394-1.022644673182912j),(-0.10135676226531232+0.2528531187591128j),(1.4290267681149231-0.42956329724953113j)
(-5.171477924025059+0j),(-0.7757256487395614+0j),(-12.502517562204599+0j),(3.1508124987253554-0.941081363722841j),(-0.18620736242368996-0.23458152666331333j),(0.8414707897034344-0.03872218181650844j)
(-5.497088180762529+0j),(-0.7230442982573062+0j),(-12.579136691504717+0j),(2.6354608212117228-0.6825502696255439j),(-0.3239268711765233+0.34207837062482216j),(1.1156989384839147-0.5731302370019269j)
(-4.754881866721808+0j),(-0.6991063002437353+0j),(-11.832144604492187+0j),(2.7771932909423684-0.34935212451233255j),(0.13349803799523818-0.3225134667424814j),(0.9454791698537459-0.12361622903587843j)
(-3.4476454221889377+0j),(-0.8667019508246332+0j),(-10.419565624999999+0j),(2.865390746861694-0.12523848371515311j),(-0.0407434219911092-0.062247450316460784j),(0.9482154519928656-0.09866443332711694j)
(-2.3654718247562645+0j),(-0.6847395559128373+0j),(-9.23203926347494+0j),(2.8534988163963653-0.08096366941022143j),(0.41313516487351043+0.5888308381072932j),(1.5767809136831392+0.2368733134956258j)
(-1.3024407346889375+0j),(-0.5458773574611172+0j),(-8.66222394453287+0j),(3.0741691999112835-3.4527410929983567e-13j),(-0.22506241099206953-1.36703506661581e-14j),(1.8770786514818703-7.074658676496136e-13j)
(-0.11492412737291306+0j),(-0.43095323008820413+0j),(-8.858543219968675+0j),(2.8534988163965984+0.0809636694100056j),(0.4131351648735259-0.5888308381073015j),(1.5767809136835567-0.23687331349597107j)
(0.7757256487395614+0j),(-0.4740534630808979+0j),(-9.595963761037588+0j),(2.8653907468617104+0.12523848371500912j),(-0.04074342199113712+0.06224745031644073j),(0.9482154519924784+0.09866443332634156j)
(1.5610225511617957+0j),(-0.43095323008820413+0j),(-10.534489642775059+0j),(2.7771932909422503+0.34935212451193487j),(0.13349803799533605+0.3225134667423944j),(0.9454791698562683+0.123616229033787j)
(1.9249375502437351+0j),(-0.3878628243697807+0j),(-11.44906766269207+0j),(2.6354608212116126+0.6825502696254331j),(-0.32392687117654373-0.34207837062480073j),(1.115698938483586+0.5731302370025668j)
(1.7238227110944688+0j),(-0.2968767132767476+0j),(-12.004525954979657+0j),(3.1508124987253927+0.9410813637224997j),(-0.1862073624236753+0.234581526663321j),(0.841470789704271+0.03872218181625309j)
(1.3024407346889375+0j),(-0.12449541758820414+0j),(-11.812992160254716+0j),(2.5982228908351193+1.0226446731824363j),(-0.10135676226528972-0.2528531187591848j),(1.4290267681154987+0.4295632972473342j)
(0.8140303910840302+0j),(-0.21548152868123724+0j),(-10.888833826565742+0j),(2.57323927176318+0.8247281853253341j),(0.08990175831342512-0.0715962900469531j),(1.324196296445141+0.20834691818270468j)
(-0.17238129568854346+0j),(-0.25857193439966064+0j),(-9.873688815528153+0j),(2.416493078460121+1.9862989318563482j),(-0.2109668739872821-0.26814335502614933j),(1.2486176117037306-0.14144372300669517j)
(-1.2689314099274576+0j),(-0.15322890625+0j),(-8.7963004065454+0j),(2.579449065196086+1.0744333150229228j),(-0.06817232712251908+0.02914797844647321j),(1.1257226167435839+0.6320265452275136j)
(-1.7525561997562646+0j),(-0.19153368512708693+0j),(-8.207322706493734+0j),(2.263770593261076+1.0443606280956517j),(-0.4395610523090893+0.0835415077868348j),(1.1955416181264145+0.4164747423182087j)
(-2.5713722907468677+0j),(-0.2394195449611172+0j),(-8.135498994776606+0j),(1.9682189170250393+1.3251320826614101j),(0.14241397528882788-0.09118304623260282j),(1.1950142066050722+0.6609568864731461j)
(-3.4668078032985328+0j),(-0.2729386787305586+0j),(-8.992619681981205+0j),(2.124077574672316+1.0074408005994986j),(0.3477457621238313+0.08747586015545569j),(1.0078476946741883+0.6569265462965852j)
(-3.916913331493735+0j),(-0.22026717378888278+0j),(-10.299855541992187+0j),(1.9149868140066482+1.588227017486176j),(0.5960956898086752-0.05045447335261996j),(1.0572221367125199+0.40501634692277033j)
(-3.5242648437499997+0j),(-0.36871041666492815+0j),(-11.233596527540683+0j),(2.1045718068828654+0.6718891815725518j),(-0.00475454205782011+0.18011876518565229j),(1.3369224474062653+1.0927436703240456j)
(-2.5282719846889377+0j),(-0.4740534630808979+0j),(-11.75552547519207+0j),(2.2984852254092987+0.3816851958475924j),(-0.2407417850018611+0.22693826766629996j),(1.3410380129224135-0.3259852432178896j)
(-1.7764942708350717+0j),(-0.5219393229149282+0j),(-11.851297048729657+0j),(1.7370816350213076+2.182826645868553j),(0.0006562505499119187-0.14481365679718208j),(1.4316661001711095+0.049597553328716515j)
(-1.4700364583350718+0j),(-0.5171438687993213+0j),(-11.731586965721846+0j),(2.882054077809974+0.5165140242289956j),(-0.2545758681212915+0.16692542355874743j),(1.6967250941455472+0.37472067615917126j)
(-1.7286181286774576+0j),(-0.574610846122913+0j),(-11.4299152184546+0j),(2.4473472014277498+1.6321479131261558j),(0.311482537375921+0.03277503420931663j),(1.2000771129984873+0.8148192479505081j)
(-2.4372958287343383+0j),(-0.4070151955420151+0j),(-10.850518416696787+0j),(3.390562193712977+1.0225183782162874j),(-0.5145395103502128-0.05321545285871476j),(2.2479533080134875+0.7857312906814578j)
(-2.9017680281952023+0j),(-0.25378628929201513+0j),(-9.964664971482753+0j),(1.9856386527690022+2.927445370665819j),(0.7874491626994427-0.3275453005785956j),(2.1776905217887252+1.5223915439927822j)
(-2.5139152502954003+0j),(-0.10055739217516965+0j),(-9.174581930762528+0j),(2.044170641498815+1.377970409571418j),(-0.25232629911216536+0.5317286264721364j),(1.858159061684416+1.6229524726039344j)
(-1.5514415067374705+0j),(-0.07660954862101935+0j),(-8.384489537692069+0j),(3.526130011515866+2.066900915559785j),(-0.29120523902913964+0.04941348353959141j),(1.310655517695102+1.207974171634552j)
(-0.2777243238382041+0j),(0.014366742047609295+0j),(-7.699750200974941+0j),(2.7425532839559033+2.0724222759371997j),(-0.3191394058963689-0.12862676391740757j),(0.9534320975359452+1.3398387142124975j)
(1.0869690880808978+0j),(-0.09097629295191727+0j),(-7.532154331198334+0j),(4.163759625513752+0.9026438126354828j),(-0.6562084641440722+0.06202273777431319j),(1.9048177659238061+1.3714240784715486j)
(1.862684946078807+0j),(-0.062252613298082723+0j),(-7.843407561281323+0j),(3.888180002662148+2.4899680300790794j),(-0.3112827256055081-0.40222958011713544j),(0.9672311672179774+2.5282775376470044j)
(2.1643571317374706+0j),(-0.04788587353376206+0j),(-8.408437399512529+0j),(2.9632525585222824+2.5821493192494254j),(-0.22822663986956498+0.16070606427133888j),(1.589303729659767+0.7835727075884602j)
(2.217028545347601+0j),(-0.16759565058089793+0j),(-9.279925050243735+0j),(5.366938551714263+3.843626958652276j),(-1.002249439787264-0.5026768299790388j),(2.1816958275716045+1.7104211403319738j)
(1.757341826597601+0j),(-0.3639149625493213+0j),(-10.3285894690454+0j),(1.1402418165661834+3.7936210278154174j),(0.1511791822632754+0.32533494995737344j),(-0.57294291359574+0.6052757267331312j)
(0.6560158579926938+0j),(-0.38306737025417387+0j),(-11.291052691209316+0j),(3.035624226673324+3.3196389628587526j),(0.06743086703191593-0.7211952278422425j),(1.0713254693793401+2.856214585301591j)
(-0.9241590643413364+0j),(-0.4692677997069433+0j),(-12.028464464449883+0j),(-0.7984994473489377+6.516574757941402j),(0.4491177466017565+0.20643518902606622j),(0.7940610042505742+2.832729960311454j)
(-2.6288293311983346+0j),(-0.3926484512111172+0j),(-12.483365117967129+0j),(4.592689648429541+12.023057649178117j),(-0.244944697171326-1.5352194038362736j),(-0.31150267520404995+5.008576217966912j)
(-3.8642417717531323+0j),(-0.41658648575730617+0j),(-12.483365117967129+0j),(5.403577862131707+7.66847587902048j),(-0.11894380471575156-0.8847382463793696j),(3.2312865678075493+3.515435556333907j)
(-4.271256930762529+0j),(-0.33519130116179585+0j),(-11.93270224326253+0j),(-7.571797662399584+13.464335355609261j),(0.32224983800298035-0.3980737402544163j),(-1.4354558853302555+4.159586471935455j)
(-4.041408602951467+0j),(-0.28251977795381095+0j),(-10.946291159278154+0j),(-4.650963166989933+7.072222713487683j),(0.756704203956043+0.6302522017174395j),(-1.7760916852392095+0.8176553637210393j)
(-3.711012865503132+0j),(-0.2920910681691021+0j),(-9.907207638770341+0j),(1.19505221788756+7.651013968512256j),(-0.38481478098670746+0.5563271896972738j),(-1.4447877004813163+4.911668374221666j)
(-3.1651354715093967+0j),(-0.1436478070267476+0j),(-8.959100274217128+0j),(-9.847750269478494+7.458663897227268j),(1.5849906107394771+1.2965958029323061j),(-1.3763906729607758+5.323075417508327j)
(-1.9967614080913363+0j),(-0.062252613298082723+0j),(-8.250423012551664+0j),(-9.56721331918665+5.818118639774527j),(1.572220704013463+0.5978533128724971j),(-7.4196453929185795+0.514718809475136j)
(-0.42616760324686764+0j),(-0.13407651681145652+0j),(-7.9008648939937345+0j),(2.1558454410895393+11.877407717582518j),(0.418456093611875-0.12913053974838196j),(0.8310247343426358+13.021973135347732j)
(1.1444262746628373+0j),(-0.1628100054732524+0j),(-8.049308319532871+0j),(-13.813102870591095+22.088270953394805j),(1.0616159562155019+0.2606670960250409j),(-18.637225554861583+11.78846168884644j)
(2.4181433844968674+0j),(-0.21548152868123724+0j),(-8.279146418210864+0j),(3.0135075982802313+2.778486864727653j),(0.7017642315686669+0.886351332612715j),(32.880597958138324+21.98646676083838j)
(3.0262732365250584+0j),(-0.36871041666492815+0j),(-9.15063406894207+0j),(15.63349788373408+1.77319966482287j),(-0.01396906865417974-1.0291541413290337j),(3.3885250481851603-6.436133506752854j)
(2.489967388474941+0j),(-0.34955804549269376+0j),(-10.199297903221845+0j),(-0.12758692465553967+34.31986669300409j),(2.288742333321912-1.1538087575293081j),(49.085153998073174-13.19512638015043j)
(1.786075315259397+0j),(-0.35912933570798483+0j),(-10.855313834279775+0j),(-79.46321651946727-5.466117287002573j),(1.0051563845132796+4.12592382842556j),(-5.3980069570094855+48.559226743147j)
(1.3311742233507335+0j),(-0.3447625913770869+0j),(-11.209648665720223+0j),(-75.82915083620568+94.71563564979957j),(-0.8476449591605495+6.0456292627508885j),(0.7758239871248556+55.33191790241952j)
(1.0965403417635708+0j),(-0.5219393229149282+0j),(-11.305420239257812+0j),(31.22227248189778-46.29903011187446j),(1.8412857804829372-4.005122330620908j),(18.573929946942528-22.16275335603896j)
(0.5410917306197807+0j),(-0.7230442982573062+0j),(-10.884038408982754+0j),(24.796123853040008-5.891742402547322j),(-1.3493687453398215+3.343732484875377j),(0.17763102337623948-3.6059024895733014j)
(-2.054228385414928+0j),(-0.6177012518413365+0j),(-10.644618242967129+0j),(-7.877313001013873-14.63375175059609j),(2.74874147379526-1.6550974665625757j),(20.471390761714005+4.57811754203968j)
(-4.5633480719968675+0j),(-0.41658648575730617+0j),(-10.706870993262529+0j),(4.633015492978986-0.8166667552684767j),(-2.739991886661798-0.835043158792793j),(2.2828024305470294-8.991626812050281j)
(-6.277599675539135+0j),(-0.28251977795381095+0j),(-10.381260736525059+0j),(23.6195902745062-1.7094149369264457j),(0.981853216434541-7.036165842086957j),(9.298588222198362-2.5111727611083006j)
