0,1,2,3,4,5
(0.28251977795381095+0j),(0.7613589044086635+0j),(-10.17056514521241+0j),0j,0j,0j
(0.3256101836722344+0j),(0.7948780199117959+0j),(-10.15141270097494+0j),(0.10653576910523044+0.26369822748435756j),(-0.21863809677413504+0.3313089249958126j),(0.07472532368101348+0.2077421144009255j)
(0.2873054230614565+0j),(0.742206533236429+0j),(-10.1753605627954+0j),(-0.09379245479011111+0.0790164615497601j),(0.0031705944507341988+0.13972214362766294j),(0.23024019581045785-0.15122523451836534j)
(0.3064578125+0j),(0.7661445312499999+0j),(-10.21366545127034+0j),(-0.035621367030625406-0.010342485539492664j),(-0.05059299602985157-0.05859786187350327j),(-0.07746035551424768+0.456953145058389j)
(0.28251977795381095+0j),(0.7278397889055311+0j),(-10.160994183790683+0j),(0.014984210787490349+0.06596665928122199j),(-0.15073681559676666-0.1239355175327346j),(-0.21124169673644744+0.11495943297750921j)
(0.330395847046189+0j),(0.7661445312499999+0j),(-10.141841739553213+0j),(-0.12793549186140524-0.0957249647406639j),(0.03923746517035365+0.08216458763907367j),(0.4049415337835267-0.16600193328643886j)
(0.3064578125+0j),(0.7565634137604386+0j),(-10.189717589449883+0j),(0.2319901627040698-0.025179761392026115j),(0.0012813238806888005-0.04426485882409187j),(-0.17493696144791038+0.08902161987206814j)
(0.2968767132767476+0j),(0.7469921600777656+0j),(-10.180146628028155+0j),(0.05889089482943627+0.009302213880501814j),(-0.0334700591591095+0.01632465072481687j),(-0.1719148202156333+0.014037836305373474j)
(0.3064578125+0j),(0.751777786919102+0j),(-10.15141270097494+0j),(0.046577772456896926+0.011936897635573679j),(0.11889431993060773+0.04628732083359299j),(-0.13045590361030968+0.07813131398630091j)
(0.2968767132767476+0j),(0.7661445312499999+0j),(-10.17056514521241+0j),(-0.16694737797746667+0.1108486201753735j),(0.2108743828055626-0.08316601868235679j),(0.1270722336609662-0.06778891652165342j)
(0.2873054230614565+0j),(0.7709301580913365+0j),(-10.15620811855793+0j),(-0.02953513953140524+0.05291009851993109j),(0.14954145836936555-0.22655412884028847j),(0.2710637590230096+0.11790819046663259j)
